model,persona_type,persona_id,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,mean_error_mean,mean_error_std,mean_absolute_error_mean,mean_absolute_error_std,hate_over_flagging_rate_mean,hate_over_flagging_rate_std,offensive_over_flagging_rate_mean,offensive_over_flagging_rate_std,offensive_to_hate_rate_mean,offensive_to_hate_rate_std,n_runs
gpt_oss_120b,persona,left-wing,0.516,0.009092121131323912,0.5199985908031836,0.010212648653642076,0.46633631155042404,0.007185093942463108,0.624,0.01019803902718558,0.672,0.009092121131323912,0.3122923588039867,0.0,0.2978959025470654,0.015424571735530569,0.6177777777777778,0.00628539361054713,3
gpt_oss_120b,persona,right-wing,0.5446666666666667,0.007542472332656513,0.5546392819086822,0.010271983286714638,0.5021528363636683,0.010025148504067334,0.534,0.021416504538945367,0.6233333333333334,0.016110727964792775,0.27464008859357697,0.015424571735530593,0.2912513842746401,0.004143585145929068,0.48444444444444446,0.01662958838566198,3
gpt_oss_120b,persona,centrist,0.526,0.005887840577551903,0.5338863743718143,0.006622034641739504,0.4847556864247731,0.001345829941639349,0.5773333333333333,0.0024944382578492965,0.6293333333333333,0.0009428090415820641,0.256921373200443,0.00952638457036835,0.3477297895902547,0.02461363319035755,0.5644444444444444,0.025141574442188362,3
gpt_oss_120b,persona,white,0.534,0.01019803902718558,0.5418481373159701,0.008235807217237361,0.4904248793155627,0.010723194169368504,0.574,0.0016329931618554536,0.6273333333333334,0.0024944382578492965,0.2679955703211517,0.013381003293017241,0.3233665559246955,0.02274932290606216,0.5555555555555556,0.027397395568751003,3
gpt_oss_120b,persona,black,0.552,0.009933109617167568,0.568676630753392,0.011764716998553413,0.5161837833019796,0.009220097490236213,0.494,0.01766352173265571,0.5606666666666666,0.017913371790059168,0.18161683277962348,0.012819309969867361,0.38427464008859363,0.004143585145929067,0.5155555555555555,0.016629588385661954,3
gpt_oss_120b,persona,asian,0.5193333333333333,0.005734883511361756,0.5255283576448249,0.006538230467027414,0.4733072938291371,0.003267791438421309,0.5873333333333334,0.011469767022723513,0.6526666666666667,0.01472714802291636,0.2823920265780731,0.018988292579714565,0.3222591362126246,0.02047978074076072,0.5733333333333334,0.010886621079036327,3
gpt_oss_120b,persona,christian,0.522,0.0043204937989385775,0.5286742738921186,0.004170296917573951,0.47660689149349716,0.0034666642696173267,0.5866666666666666,0.00659966329107445,0.6453333333333333,0.0024944382578492965,0.2746400885935769,0.004143585145929062,0.3289036544850499,0.016275679354041044,0.5822222222222223,0.01662958838566193,3
gpt_oss_120b,persona,muslim,0.5393333333333333,0.005734883511361756,0.5492940317896754,0.00740965738072589,0.48866636377925765,0.006515966720081593,0.5573333333333333,0.013695092389449385,0.6106666666666666,0.009285592184789422,0.24916943521594684,0.007176899998236829,0.32447397563676633,0.010962895832349577,0.5911111111111111,0.025141574442188362,3
gpt_oss_120b,persona,jewish,0.5433333333333333,0.011469767022723513,0.5549235054191457,0.010815627879489045,0.4995013592656283,0.010938184337480115,0.5293333333333333,0.005734883511361756,0.604,0.011430952132988175,0.24031007751937986,0.008287170291858117,0.3289036544850498,0.018988292579714565,0.5288888888888889,0.01662958838566193,3
gpt_oss_120b,persona,atheist,0.5306666666666667,0.0024944382578492965,0.5391148165820088,0.0022731693644691023,0.481367999353125,0.006917895312389077,0.586,0.009933109617167568,0.6393333333333334,0.0033993463423951926,0.2812846068660022,0.010962895832349577,0.30454042081949056,0.014939908707898167,0.6044444444444445,0.025141574442188362,3
