model,run,persona_type,persona_id,accuracy,f1_weighted,f1_macro,mean_error,mean_absolute_error,hate_over_flagging_rate,offensive_over_flagging_rate,offensive_to_hate_rate
mistral_medium,r3,persona,muslim,0.436,0.411402352310012,0.4265654445215832,0.68,0.712,0.24584717607973422,0.5481727574750831,0.4666666666666667
mistral_medium,r3,persona,jewish,0.462,0.4388205909432181,0.4447036917862583,0.7,0.736,0.3289036544850498,0.42524916943521596,0.44
mistral_medium,r3,persona,atheist,0.544,0.5661115347155548,0.5320231350534695,0.442,0.546,0.14950166112956811,0.4418604651162791,0.32
mistral_medium,r3,persona,hindu,0.44,0.4191184247927645,0.4378614664267739,0.642,0.694,0.22259136212624583,0.5681063122923588,0.38666666666666666
qwen3_32b,r1,baseline,baseline,0.518,0.5369428069216343,0.5052979051350387,0.464,0.6,0.1893687707641196,0.42524916943521596,0.32
qwen3_32b,r1,persona,15,0.416,0.43386603509914085,0.4361357895124122,0.452,0.66,0.12292358803986711,0.627906976744186,0.2
qwen3_32b,r1,persona,35,0.424,0.43438074842130503,0.4365722503816201,0.512,0.672,0.15282392026578073,0.6013289036544851,0.30666666666666664
qwen3_32b,r1,persona,65,0.386,0.4118754061487256,0.41478952439344835,0.424,0.66,0.07308970099667775,0.6976744186046512,0.22666666666666666
qwen3_32b,r1,persona,no_formal_education,0.402,0.43402751721484395,0.4101665981168708,0.348,0.684,0.12624584717607973,0.5714285714285714,0.13333333333333333
qwen3_32b,r1,persona,high_school_education,0.444,0.47505001480929077,0.45068156470871407,0.404,0.648,0.14950166112956811,0.5249169435215947,0.2
qwen3_32b,r1,persona,higher_education,0.428,0.4494538325556125,0.4408089099552281,0.474,0.658,0.13953488372093023,0.5880398671096345,0.29333333333333333
qwen3_32b,r1,persona,male,0.446,0.4610411292411292,0.45537137759359975,0.5,0.648,0.15282392026578073,0.5714285714285714,0.30666666666666664
qwen3_32b,r1,persona,female,0.428,0.4307683991178519,0.4417060472308368,0.528,0.672,0.16279069767441862,0.6046511627906976,0.26666666666666666
qwen3_32b,r1,persona,not_lonely,0.478,0.51993752785038,0.4804050188824554,0.336,0.592,0.10963455149501661,0.5016611295681063,0.2
qwen3_32b,r1,persona,somewhat_lonely,0.342,0.36052240804068536,0.3661174915449541,0.388,0.704,0.07308970099667775,0.7275747508305648,0.13333333333333333
qwen3_32b,r1,persona,left-wing,0.408,0.407353601883829,0.4277206281952026,0.526,0.678,0.13953488372093023,0.6578073089700996,0.25333333333333335
qwen3_32b,r1,persona,right-wing,0.43,0.4653958335542626,0.43310875258924336,0.346,0.67,0.12624584717607973,0.53156146179402,0.24
qwen3_32b,r1,persona,centrist,0.418,0.46697597256724466,0.4351255353626599,0.308,0.608,0.04318936877076412,0.6312292358803987,0.17333333333333334
qwen3_32b,r1,persona,white,0.468,0.5035243830546927,0.4700186328366232,0.386,0.618,0.12956810631229235,0.5083056478405316,0.26666666666666666
qwen3_32b,r1,persona,black,0.392,0.3986541645523517,0.40918872016780905,0.546,0.686,0.12956810631229235,0.6677740863787376,0.38666666666666666
qwen3_32b,r1,persona,asian,0.438,0.4452072829131652,0.45778244631185805,0.496,0.64,0.12956810631229235,0.6312292358803987,0.21333333333333335
qwen3_32b,r1,persona,christian,0.402,0.4272189191587541,0.42420208832490314,0.416,0.66,0.09966777408637874,0.6478405315614618,0.18666666666666668
qwen3_32b,r1,persona,muslim,0.418,0.44354742716285606,0.441874624110597,0.43,0.642,0.09634551495016612,0.6445182724252492,0.21333333333333335
qwen3_32b,r1,persona,jewish,0.424,0.4321898296414592,0.43375091452158143,0.536,0.676,0.16279069767441862,0.5946843853820598,0.3466666666666667
qwen3_32b,r1,persona,atheist,0.466,0.49807860283140865,0.4720655285437522,0.41,0.618,0.1362126245847176,0.521594684385382,0.24
qwen3_32b,r1,persona,hindu,0.418,0.45223864311099615,0.4353941814513722,0.382,0.642,0.09966777408637874,0.6079734219269103,0.17333333333333334
qwen3_32b,r2,baseline,baseline,0.518,0.5416315789473685,0.5040289677682579,0.456,0.6,0.1893687707641196,0.4119601328903654,0.3466666666666667
qwen3_32b,r2,persona,15,0.43,0.45751069571601566,0.4457523518031901,0.412,0.644,0.11960132890365449,0.5913621262458472,0.18666666666666668
qwen3_32b,r2,persona,35,0.428,0.4497108554115758,0.44216688554112776,0.464,0.656,0.1362126245847176,0.5913621262458472,0.26666666666666666
qwen3_32b,r2,persona,65,0.362,0.38694398705578,0.3890010362415384,0.398,0.69,0.08305647840531562,0.6976744186046512,0.16
qwen3_32b,r2,persona,no_formal_education,0.376,0.4138242760616195,0.38332148139497974,0.322,0.706,0.10963455149501661,0.5913621262458472,0.17333333333333334
qwen3_32b,r2,persona,high_school_education,0.442,0.4763904432291529,0.4490091264284813,0.398,0.642,0.1362126245847176,0.5348837209302325,0.22666666666666666
qwen3_32b,r2,persona,higher_education,0.452,0.46739741672910895,0.4624018752690504,0.502,0.63,0.132890365448505,0.5913621262458472,0.3333333333333333
qwen3_32b,r2,persona,male,0.45,0.4768462911004477,0.4566700720661078,0.47,0.63,0.132890365448505,0.5614617940199336,0.3466666666666667
qwen3_32b,r2,persona,female,0.412,0.41306286795384484,0.4264308449275723,0.526,0.694,0.17275747508305647,0.6079734219269103,0.24
