model,persona_type,persona_id,subgroup,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,mean_error_mean,mean_error_std,mean_absolute_error_mean,mean_absolute_error_std,hate_over_flagging_rate_mean,hate_over_flagging_rate_std,offensive_over_flagging_rate_mean,offensive_over_flagging_rate_std,offensive_to_hate_rate_mean,offensive_to_hate_rate_std,n_samples_mean,n_runs
mistral_medium,persona,somewhat_lonely,none,0.3208616780045352,0.01282733389907568,0.4219091700317274,0.013660186053105214,0.25616355466407487,0.013168270530623092,0.7585034013605442,0.01546279103966648,0.7993197278911565,0.0194403947839935,0.132334581772784,0.0076958976316716275,0.5742821473158551,0.004671232692601686,0.2777777777777778,0.0,294.0,3
mistral_medium,persona,left-wing,none,0.22789115646258504,0.002777199254856214,0.3075582640080516,0.005711372235292854,0.18266176900545072,0.0010985148370118855,1.0578231292517006,0.012726725805353596,1.0736961451247167,0.010514306684235536,0.33208489388264667,0.008827800014813323,0.47191011235955055,0.00611607925788558,0.5555555555555556,0.0,294.0,3
mistral_medium,persona,right-wing,none,0.33219954648526073,0.00578120126257686,0.4318437669088487,0.0051745521024015905,0.26075901554834474,0.004674752066638476,0.7630385487528345,0.004242241935117852,0.8129251700680272,0.002777199254856214,0.1598002496878901,0.008827800014813337,0.5355805243445694,0.01332968570790424,0.18518518518518515,0.026189140043946204,294.0,3
mistral_medium,persona,centrist,none,0.31746031746031744,0.020090754134545745,0.4128285892166342,0.02454368386552015,0.2990894480968767,0.014993172155346193,0.6836734693877551,0.02169061958016895,0.7290249433106576,0.023290973451444576,0.0511860174781523,0.00353112000592533,0.6679151061173534,0.017918477021732,0.1111111111111111,0.045360921162651446,294.0,3
mistral_medium,persona,white,none,0.38095238095238093,0.011108797019424833,0.48657238888877724,0.011073311227847115,0.29369960583025573,0.007285409081348235,0.6927437641723356,0.01252308505350031,0.7335600907029479,0.01252308505350031,0.12609238451935081,0.0017655600029626698,0.5193508114856429,0.009342465385203322,0.2037037037037037,0.026189140043946204,294.0,3
mistral_medium,persona,black,none,0.30158730158730157,0.004242241935117852,0.39864484048067744,0.004208093230206646,0.2288943771088202,0.003989849767375576,0.8843537414965986,0.014695557139246864,0.9229024943310659,0.013978263045281141,0.24719101123595508,0.013329685707904266,0.4794007490636704,0.013329685707904266,0.3148148148148148,0.02618914004394619,294.0,3
mistral_medium,persona,asian,none,0.32653061224489793,0.0,0.4231662241285428,2.8403245499041962e-05,0.2517100437238334,0.0008438277880547768,0.8321995464852607,0.006413666949537854,0.8594104308390023,0.006413666949537853,0.2047440699126092,0.007062240011850666,0.5031210986267166,0.007062240011850679,0.2777777777777778,0.0,294.0,3
mistral_medium,persona,christian,none,0.21201814058956917,0.012523085053500298,0.2774048897074885,0.018453078798059824,0.18308504734522282,0.006763564421016533,0.9489795918367346,0.007347778569623381,0.9852607709750566,0.009753203250615234,0.21722846441947566,0.0030580396289428013,0.6092384519350812,0.016842368992799048,0.3148148148148148,0.02618914004394619,294.0,3
mistral_medium,persona,muslim,none,0.24603174603174605,0.011223917161691232,0.3214878384746836,0.014494069022563704,0.20140465630343637,0.007423761168593704,0.9603174603174603,0.011562402525153684,0.9852607709750566,0.013978263045281094,0.2546816479400749,0.0030580396289428013,0.5393258426966292,0.008090812357562892,0.3333333333333333,0.0,294.0,3
mistral_medium,persona,jewish,none,0.2925170068027211,0.007347778569623432,0.3845702541589482,0.011697962003539104,0.22523933641192703,0.00304282191080503,0.9829931972789115,0.010013334315564464,1.007936507936508,0.008017083686922315,0.33083645443196,0.0017655600029626698,0.4107365792759052,0.009830222064933595,0.35185185185185186,0.026189140043946214,294.0,3
