model,group,persona_code,token_f1_mean,token_f1_std,iou_f1_mean,iou_f1_std,n_eval_mean,gt_total
mistral_medium,LY,45_m_b,0.49637974782390515,0.0023166329774134587,0.36800000000000005,0.008164965809277268,500.0,500
mistral_medium,LY,45_m_l,0.4995206237493262,0.0024923651243760293,0.3706666666666667,0.00659966329107445,500.0,500
mistral_medium,LY,45_m_w,0.49942875509550494,0.0057520743149894835,0.3746666666666667,0.006798692684790385,500.0,500
mistral_medium,LY,45_f_b,0.4929861173737005,0.0011714527898466299,0.3666666666666667,0.007542472332656513,500.0,500
mistral_medium,LY,45_f_l,0.494757641440088,0.003313407737722003,0.36533333333333334,0.004988876515698593,500.0,500
mistral_medium,LY,45_f_w,0.5001826248067808,0.001491803596624956,0.3826666666666667,0.00659966329107445,500.0,500
mistral_medium,WO,25_m_b,0.5744520481801051,0.0016823872238966352,0.49266666666666664,0.0024944382578492965,500.0,500
mistral_medium,WO,25_m_l,0.5842131620883074,0.003121126131072426,0.5126666666666667,0.013299958228840014,500.0,500
mistral_medium,WO,25_m_w,0.5753604311289738,0.0023838968070821207,0.49,0.008485281374238578,500.0,500
mistral_medium,WO,25_f_b,0.5753769545124453,0.004712455135592092,0.49866666666666665,0.008055363982396388,500.0,500
mistral_medium,WO,25_f_l,0.5816294027685028,0.000410808874665774,0.5033333333333333,0.006798692684790386,500.0,500
mistral_medium,WO,25_f_w,0.5824384611485897,0.003678640799415586,0.49933333333333335,0.00659966329107445,500.0,500
mistral_medium,WO,45_m_b,0.5777124372340747,0.002530837655265141,0.5026666666666667,0.004988876515698593,500.0,500
mistral_medium,WO,45_m_l,0.5827240698062954,0.003426522132985187,0.5073333333333333,0.007717224601860157,500.0,500
mistral_medium,WO,45_m_w,0.5772310481220971,0.005386547253376098,0.48866666666666664,0.016996731711975962,500.0,500
mistral_medium,WO,45_f_b,0.5746437738674586,0.0021403838401886765,0.482,0.007483314773547889,500.0,500
mistral_medium,WO,45_f_l,0.5789544625072761,0.004556257049906331,0.5013333333333333,0.01309792180292568,500.0,500
mistral_medium,WO,45_f_w,0.5778975860977148,0.0008019229035193845,0.48533333333333334,0.003399346342395193,500.0,500
mistral_medium,WY,25_m_b,0.5288869720349604,0.0018889154596411178,0.40066666666666667,0.00679869268479036,500.0,500
mistral_medium,WY,25_m_l,0.5334364006020361,0.0031637372825291496,0.412,0.004898979485566338,500.0,500
mistral_medium,WY,25_m_w,0.5266102931599602,0.005306902060134378,0.39733333333333337,0.013097921802925655,500.0,500
mistral_medium,WY,25_f_b,0.5266927550998394,0.0020985046053132238,0.40199999999999997,0.007118052168020864,500.0,500
mistral_medium,WY,25_f_l,0.5273569757040354,0.0023437434139052422,0.40599999999999997,0.005887840577551878,500.0,500
mistral_medium,WY,25_f_w,0.5330624005828213,0.0006509047193675583,0.408,0.0032659863237108843,500.0,500
mistral_medium,WY,45_m_b,0.5278509811987474,0.0012622171027687123,0.4126666666666667,0.0024944382578492965,500.0,500
mistral_medium,WY,45_m_l,0.5309152348992605,0.0007610157587888165,0.4046666666666667,0.007717224601860131,500.0,500
mistral_medium,WY,45_m_w,0.5260316772082412,0.002685140660253577,0.4093333333333333,0.013695092389449411,500.0,500
mistral_medium,WY,45_f_b,0.5260168041699079,0.0050301940247436065,0.41,0.013366625103842266,500.0,500
mistral_medium,WY,45_f_l,0.5333845834374324,0.0006641677769255865,0.42,0.005656854249492386,500.0,500
mistral_medium,WY,45_f_w,0.5297247328522878,0.0018207322278524193,0.3993333333333333,0.0073635740114581585,500.0,500
qwen3_32b,BO,25_m_b,0.4882446087910492,0.006457305736074081,0.4206666666666667,0.009428090415820642,500.0,500
qwen3_32b,BO,25_m_l,0.48411280639107135,0.003560666030911808,0.416,0.0016329931618554536,500.0,500
qwen3_32b,BO,25_m_w,0.4792002326042272,0.0011217741040530243,0.40666666666666673,0.00410960933531263,500.0,500
qwen3_32b,BO,25_f_b,0.47754232723474277,0.002038769120978723,0.39799999999999996,0.009092121131323891,500.0,500
qwen3_32b,BO,25_f_l,0.48498286594128626,0.0026570641574207637,0.412,0.0032659863237109073,500.0,500
qwen3_32b,BO,25_f_w,0.48220388824224786,0.0024169104799322016,0.41333333333333333,0.011585431464655164,500.0,500
