model,group,persona_text,accuracy_mean,accuracy_std,macro_f1_3class_mean,macro_f1_3class_std,macro_f1_binary_mean,macro_f1_binary_std,correct_mean,total_mean,missing_mean,matches_group,valid_runs,total_runs
mistral_medium,BY,A 45-year-old African American Female,0.7667934093789608,0.0017924126265818849,0.5593972706270173,0.001631806123483982,0.9264086310171556,0.0036110633727544257,201.66666666666666,263.0,0.0,False,3,3
mistral_medium,BY,A 45-year-old Hispanic Female,0.7693282636248416,0.0017924126265818849,0.5612475837569315,0.001146738948531988,0.9294698913296008,0.002100007801506611,202.33333333333334,263.0,0.0,False,3,3
mistral_medium,BY,A 45-year-old Caucasian Female,0.7642585551330798,0.003104549737367806,0.5579485966955847,0.0027437047260125253,0.9247639412287759,0.005587501695651218,201.0,263.0,0.0,False,3,3
mistral_medium,LO,A 25-year-old African American Male,0.870722433460076,0.006209099474735522,0.5990400966104529,0.0027639674245050253,0.9292037727335435,0.0021503790165732072,229.0,263.0,0.0,False,3,3
mistral_medium,LO,A 25-year-old Hispanic Male,0.8808618504435994,0.0017924126265818849,0.6047340385246521,9.488943422550864e-05,0.9361736865299889,0.0016992429999014957,231.66666666666666,263.0,0.0,False,3,3
mistral_medium,LO,A 25-year-old Caucasian Male,0.879594423320659,0.0017924126265818849,0.6042426219889926,0.000652716871339658,0.9360999809836467,0.0017536855571005767,231.33333333333334,263.0,0.0,False,3,3
mistral_medium,LO,A 25-year-old African American Female,0.8745247148288974,0.003104549737367761,0.6012160005452468,0.0016109145803305607,0.9319834927036051,0.0019593965953955132,230.0,263.0,0.0,False,3,3
mistral_medium,LO,A 25-year-old Hispanic Female,0.879594423320659,0.0017924126265818849,0.6038737155331296,0.0006592873469430354,0.9348247291891901,0.0001042353832594555,231.33333333333334,263.0,0.0,False,3,3
mistral_medium,LO,A 25-year-old Caucasian Female,0.879594423320659,0.0017924126265818849,0.6050360911230476,0.000616945749651832,0.9386463946089693,9.845130128046223e-05,231.33333333333334,263.0,0.0,False,3,3
mistral_medium,LO,A 45-year-old African American Male,0.8732572877059569,0.004742278056747709,0.6126532855631578,0.019636047369721337,0.9305296155708808,0.0033438833788088517,229.66666666666666,263.0,0.0,False,3,3
mistral_medium,LO,A 45-year-old Hispanic Male,0.8808618504435994,0.0017924126265818849,0.6043651320687893,0.0006166019473539515,0.9348984347355325,0.0001042353832594555,231.66666666666666,263.0,0.0,True,3,3
mistral_medium,LO,A 45-year-old Caucasian Male,0.8757921419518379,0.0017924126265818326,0.6032966634178002,0.0010579278080234161,0.9371560469473369,0.001861325794962506,230.33333333333334,263.0,0.0,False,3,3
mistral_medium,LO,A 45-year-old African American Female,0.8808618504435994,0.0017924126265818849,0.6043099620563327,0.0015453251453636746,0.934904773041497,0.003196560507697794,231.66666666666666,263.0,0.0,False,3,3
mistral_medium,LO,A 45-year-old Hispanic Female,0.8808618504435994,0.0017924126265818849,0.6043099620563327,0.0015453251453636746,0.934904773041497,0.003196560507697794,231.66666666666666,263.0,0.0,True,3,3
mistral_medium,LO,A 45-year-old Caucasian Female,0.8808618504435994,0.0017924126265818849,0.6047342816295885,0.0009872394333075912,0.9361695965663986,0.0018520132748153764,231.66666666666666,263.0,0.0,False,3,3
mistral_medium,LY,A 25-year-old African American Male,0.8922686945500633,0.0017924126265818849,0.647402989705892,0.02408044598172737,0.964234032552371,0.0019142290977084472,234.66666666666666,263.0,0.0,False,3,3
mistral_medium,LY,A 25-year-old Hispanic Male,0.8935361216730038,0.0,0.6295804030505568,0.014183489104887216,0.9670205349383393,6.181543676782078e-05,235.0,263.0,0.0,True,3,3
mistral_medium,LY,A 25-year-old Caucasian Male,0.8935361216730038,0.0,0.6299881703532239,0.013904125940429684,0.9683557646706696,0.001919954195662685,235.0,263.0,0.0,False,3,3
mistral_medium,LY,A 25-year-old African American Female,0.8910012674271229,0.0035848252531637177,0.6382881380774582,0.01612149096740811,0.9642323388413784,0.0019154908003217572,234.33333333333334,263.0,0.0,False,3,3
