model,run,group,persona_code,token_f1,iou_f1,n_eval,missing,gt_total
gpt_oss_120b,r3,LO,45_m_b,0.5436885003118862,0.41064638783269963,263,0,263
gpt_oss_120b,r3,LO,45_m_l,0.539780313023172,0.40304182509505704,263,0,263
gpt_oss_120b,r3,LO,45_m_w,0.5638040802834692,0.4372623574144487,263,0,263
gpt_oss_120b,r3,LO,45_f_b,0.5457445888813534,0.4068441064638783,263,0,263
gpt_oss_120b,r3,LO,45_f_l,0.5472422184712987,0.3916349809885932,263,0,263
gpt_oss_120b,r3,LO,45_f_w,0.5653138931138983,0.4448669201520912,263,0,263
gpt_oss_120b,r3,LY,25_m_b,0.5587926605316452,0.44866920152091255,263,0,263
gpt_oss_120b,r3,LY,25_m_l,0.5676695133192561,0.44866920152091255,263,0,263
gpt_oss_120b,r3,LY,25_m_w,0.574097247226125,0.4524714828897338,263,0,263
gpt_oss_120b,r3,LY,25_f_b,0.559672147107844,0.44106463878326996,263,0,263
gpt_oss_120b,r3,LY,25_f_l,0.5827052262410013,0.5019011406844106,263,0,263
gpt_oss_120b,r3,LY,25_f_w,0.5560836383974384,0.4144486692015209,263,0,263
gpt_oss_120b,r3,LY,45_m_b,0.5665688931009417,0.4448669201520912,263,0,263
gpt_oss_120b,r3,LY,45_m_l,0.575002335446308,0.4790874524714829,263,0,263
gpt_oss_120b,r3,LY,45_m_w,0.5706799341975666,0.4524714828897338,263,0,263
gpt_oss_120b,r3,LY,45_f_b,0.5630604559741456,0.4448669201520912,263,0,263
gpt_oss_120b,r3,LY,45_f_l,0.5769014675538593,0.49429657794676807,263,0,263
gpt_oss_120b,r3,LY,45_f_w,0.5695398822165458,0.44106463878326996,263,0,263
gpt_oss_120b,r3,WO,25_m_b,0.6412271345360618,0.55893536121673,263,0,263
gpt_oss_120b,r3,WO,25_m_l,0.6380028606429675,0.5703422053231939,263,0,263
gpt_oss_120b,r3,WO,25_m_w,0.6462904542581003,0.5361216730038023,263,0,263
gpt_oss_120b,r3,WO,25_f_b,0.637393391844004,0.5285171102661597,263,0,263
gpt_oss_120b,r3,WO,25_f_l,0.6416697606923515,0.5475285171102662,263,0,263
gpt_oss_120b,r3,WO,25_f_w,0.6264803164839614,0.5019011406844106,263,0,263
gpt_oss_120b,r3,WO,45_m_b,0.6312247119318964,0.5247148288973384,263,0,263
gpt_oss_120b,r3,WO,45_m_l,0.6397246159591172,0.55893536121673,263,0,263
gpt_oss_120b,r3,WO,45_m_w,0.6400295786881198,0.532319391634981,263,0,263
gpt_oss_120b,r3,WO,45_f_b,0.622156200127395,0.5133079847908745,263,0,263
gpt_oss_120b,r3,WO,45_f_l,0.6479781622801561,0.5437262357414449,263,0,263
gpt_oss_120b,r3,WO,45_f_w,0.639472118275859,0.5285171102661597,263,0,263
gpt_oss_120b,r3,WY,25_m_b,0.5670570737119494,0.4068441064638783,263,0,263
gpt_oss_120b,r3,WY,25_m_l,0.5735799438044321,0.4524714828897338,263,0,263
gpt_oss_120b,r3,WY,25_m_w,0.5648916149971266,0.3840304182509506,263,0,263
gpt_oss_120b,r3,WY,25_f_b,0.5715810512797533,0.40304182509505704,263,0,263
gpt_oss_120b,r3,WY,25_f_l,0.5794572124364122,0.44866920152091255,263,0,263
gpt_oss_120b,r3,WY,25_f_w,0.550284682930204,0.40304182509505704,263,0,263
gpt_oss_120b,r3,WY,45_m_b,0.5589607890020495,0.39543726235741444,263,0,263
gpt_oss_120b,r3,WY,45_m_l,0.5579065983776974,0.39543726235741444,263,0,263
gpt_oss_120b,r3,WY,45_m_w,0.5837960449446171,0.4752851711026616,263,0,263
gpt_oss_120b,r3,WY,45_f_b,0.5660723159131034,0.41825095057034223,263,0,263
gpt_oss_120b,r3,WY,45_f_l,0.5759820664852947,0.43346007604562736,263,0,263
gpt_oss_120b,r3,WY,45_f_w,0.5722815086085997,0.41825095057034223,263,0,263
mistral_medium,r1,BO,25_m_b,0.5821960345170568,0.42585551330798477,263,0,263
mistral_medium,r1,BO,25_m_l,0.591568273499709,0.43346007604562736,263,0,263
mistral_medium,r1,BO,25_m_w,0.585028428053054,0.4372623574144487,263,0,263
mistral_medium,r1,BO,25_f_b,0.5818360797819833,0.4220532319391635,263,0,263
mistral_medium,r1,BO,25_f_l,0.595067287207047,0.45627376425855515,263,0,263
mistral_medium,r1,BO,25_f_w,0.595927928584812,0.46387832699619774,263,0,263
mistral_medium,r1,BO,45_m_b,0.586173725102799,0.42585551330798477,263,0,263
mistral_medium,r1,BO,45_m_l,0.583766935426883,0.4220532319391635,263,0,263
mistral_medium,r1,BO,45_m_w,0.5938532506311923,0.4524714828897338,263,0,263
mistral_medium,r1,BO,45_f_b,0.5922380510062023,0.44106463878326996,263,0,263
mistral_medium,r1,BO,45_f_l,0.5958499707711769,0.4448669201520912,263,0,263
mistral_medium,r1,BO,45_f_w,0.5885626541884493,0.44866920152091255,263,0,263
mistral_medium,r1,BY,25_m_b,0.517194190121142,0.4068441064638783,263,0,263
